"","ID","Skeletonization","Surface feeding","Gall","Hole Feeding","Mining","Margin Feeding","Piercing","Chewing"
"204","204",100,0,0,0,0,0,0,100
"205","205",0,0,0,0,0,0,0,0
"206","206",0,0,0,0,0,0,0,0
"207","207",0,0,0,0,0,0,0,0
"208","208",0,0,0,0,0,0,0,0
"209","209",0,0,0,0,0,0,0,0
"210","210",0,0,0,0,0,0,0,0
"211","211",0,0,0,0,0,0,0,0
"212","212",0,0,0,0,0,0,0,0
"213","213",0,0,0,0,0,0,0,0
"214","214",0,0,0,0,0,0,0,0
"215","215",0,0,0,0,0,0,0,0
"216","216",0,0,0,0,0,0,0,0
"217","217",0,0,0,0,0,0,0,0
"218","218",0,0,0,0,0,0,0,0
"219","219",0,0,0,0,0,0,0,0
"220","220",100,0,0,0,0,0,0,100
"221","221",0,0,100,0,0,0,0,0
"222","222",0,0,0,0,0,0,0,0
"223","223",0,0,0,0,0,0,0,0
"224","224",0,0,0,0,0,0,0,0
"225","225",0,0,0,100,0,0,0,100
"226","226",0,0,0,0,0,0,0,0
"227","227",0,0,100,0,0,0,0,0
"228","228",0,0,0,0,100,0,0,0
"229","229",0,0,0,0,0,0,0,0
"230","230",0,0,0,0,100,0,0,0
"231","231",0,0,0,0,0,0,0,0
"232","232",0,0,0,0,0,0,0,0
"233","233",0,0,0,0,0,0,0,0
"234","234",0,0,0,0,0,0,0,0
"235","235",0,0,0,0,0,0,0,0
"236","236",0,0,0,0,0,0,0,0
"237","237",0,0,0,0,0,0,0,0
"238","238",100,0,100,0,0,0,0,100
"239","239",0,0,100,0,0,0,0,0
"240","240",0,0,0,0,0,0,0,0
"241","241",0,0,0,0,0,0,0,0
"242","242",0,0,100,0,100,0,0,0
"243","243",0,0,0,0,0,0,0,0
"244","244",0,0,0,0,0,0,0,0
"245","245",0,0,0,0,0,0,0,0
"246","246",0,0,0,0,100,0,0,0
"247","247",0,0,0,0,100,0,0,0
"248","248",0,0,0,100,0,0,0,100
"249","249",0,0,0,0,0,0,0,0
"250","250",100,0,0,0,0,0,0,100
"251","251",100,0,0,0,0,0,0,100
"252","252",0,0,0,0,0,0,0,0
"253","253",0,0,0,0,0,0,0,0
"254","254",0,0,0,0,0,0,0,0
"255","255",0,0,0,0,100,0,0,0
"256","256",0,0,0,0,0,0,0,0
"257","257",0,0,0,0,0,0,0,0
"258","258",0,0,0,0,0,0,0,0
"259","259",0,0,0,0,0,0,0,0
"260","260",100,0,0,0,0,0,0,100
"261","261",100,0,100,0,0,0,0,100
"262","262",100,0,0,0,0,0,0,100
"263","263",0,0,0,0,0,0,0,0
"264","264",0,0,0,0,0,0,0,0
"265","265",0,0,0,0,0,0,0,0
"266","266",0,0,0,100,0,0,0,100
"267","267",100,0,0,0,100,0,0,100
"268","268",0,0,0,0,0,0,0,0
"269","269",0,0,0,0,0,0,0,0
"270","270",0,0,0,0,100,0,0,0
"271","271",0,0,100,0,0,0,0,0
"272","272",0,0,0,0,0,0,0,0
"273","273",0,0,0,0,0,0,0,0
"274","274",100,0,0,0,0,100,0,200
"275","275",0,0,0,0,0,0,0,0
"276","276",0,0,0,0,0,0,0,0
"277","277",0,0,0,0,0,0,0,0
"278","278",0,0,0,0,0,0,0,0
"279","279",100,0,0,0,0,0,0,100
"280","280",0,0,0,0,0,0,0,0
"281","281",0,0,0,0,0,0,0,0
"282","282",0,0,0,0,0,0,0,0
"283","283",0,0,0,0,0,0,0,0
"284","284",0,0,0,0,0,0,0,0
"285","285",0,0,0,0,0,0,0,0
"286","286",0,0,0,0,0,0,0,0
"287","287",100,0,100,0,0,0,0,100
"288","288",100,0,0,100,0,100,0,300
"289","289",100,0,100,0,100,0,0,100
"290","290",100,0,0,100,0,0,0,200
"291","291",0,0,0,0,0,0,0,0
"292","292",0,0,0,0,0,0,0,0
"293","293",100,0,0,0,0,0,0,100
"294","294",0,0,0,0,0,0,0,0
"295","295",0,0,0,0,0,0,0,0
"296","296",0,0,0,0,0,0,0,0
"297","297",0,0,0,0,0,0,0,0
"298","298",100,0,0,0,100,0,0,100
"299","299",0,0,0,0,0,0,0,0
"300","300",0,0,0,0,0,0,0,0
"301","301",0,0,0,0,0,0,0,0
"302","302",0,0,0,0,0,0,0,0
"303","303",0,0,0,0,0,0,0,0
"304","304",0,0,0,100,100,0,0,100
"305","305",0,0,100,0,100,0,0,0
"306","306",100,0,0,100,0,0,0,200
"307","307",100,0,0,0,0,0,0,100
"308","308",100,0,0,0,0,0,0,100
"309","309",0,0,100,0,0,0,0,0
"310","310",0,0,100,0,0,0,0,0
"311","311",0,0,0,0,0,0,0,0
"312","312",0,0,0,0,0,0,0,0
"313","313",0,0,0,0,0,0,0,0
"314","314",0,0,0,0,0,0,0,0
"315","315",0,0,0,0,0,0,0,0
"316","316",0,0,0,0,0,0,0,0
"317","317",0,0,0,0,0,0,100,0
"318","318",0,0,0,0,0,0,0,0
"319","319",0,0,0,100,0,0,100,100
"320","320",0,0,0,0,0,0,0,0
"321","321",100,0,0,0,0,0,0,100
"322","322",0,0,0,0,0,0,0,0
"323","323",100,0,0,0,100,0,0,100
"324","324",0,0,0,0,0,0,0,0
"325","325",0,0,100,0,0,0,0,0
"326","326",0,0,0,0,0,0,0,0
"327","327",100,0,0,0,0,0,0,100
"328","328",0,0,100,0,0,0,0,0
"329","329",0,0,0,0,0,0,0,0
"330","330",100,0,100,0,0,0,0,100
"331","331",0,0,0,100,0,0,0,100
"332","332",0,0,0,100,0,0,0,100
"333","333",100,0,0,0,100,0,0,100
"334","334",0,0,100,0,0,0,0,0
"335","335",0,0,0,0,0,0,0,0
"336","336",0,0,0,0,100,0,0,0
"337","337",0,0,0,0,0,0,0,0
"338","338",0,0,0,100,0,0,0,100
"339","339",0,0,0,0,0,0,100,0
"340","340",0,0,0,100,0,0,100,100
"341","341",0,0,0,0,0,0,100,0
"342","342",0,0,100,0,0,0,0,0
"343","343",0,0,0,0,0,0,0,0
"344","344",0,0,0,0,0,0,0,0
"345","345",0,0,0,0,0,0,0,0
"346","346",0,0,0,0,0,0,0,0
"347","347",0,0,0,0,0,0,0,0
"348","348",0,0,0,0,100,0,0,0
"349","349",0,0,100,0,100,0,0,0
"350","350",0,0,0,0,0,0,0,0
"351","351",0,0,0,0,100,0,0,0
"352","352",0,0,0,0,0,0,0,0
"353","353",0,0,0,0,100,0,0,0
"354","354",0,0,0,0,0,0,0,0
"355","355",0,0,100,0,100,0,0,0
"356","356",0,0,0,0,100,0,0,0
"357","357",100,0,0,0,0,0,0,100
"358","358",100,0,0,0,0,0,0,100
"359","359",100,0,0,0,0,0,0,100
"360","360",100,0,0,0,100,0,0,100
"361","361",0,0,0,0,0,0,0,0
"362","362",0,0,0,0,0,0,0,0
"363","363",0,0,0,0,0,0,0,0
"364","364",0,0,0,0,0,0,0,0
"365","365",0,0,0,0,0,0,0,0
"366","366",0,0,0,0,0,0,0,0
"367","367",0,0,0,0,0,0,0,0
"368","368",0,0,0,0,0,0,0,0
"369","369",0,0,0,0,0,0,0,0
"371","371",100,0,100,100,0,0,0,200
"372","372",0,0,0,0,0,0,0,0
"373","373",100,0,0,0,0,0,0,100
"374","374",100,0,0,100,0,0,0,200
"375","375",100,0,0,100,0,0,0,200
"376","376",0,0,0,100,0,0,0,100
"377","377",0,0,0,0,0,0,0,0
"378","378",0,0,0,0,0,0,0,0
"379","379",0,0,0,0,0,0,0,0
"380","380",0,0,0,0,0,0,0,0
